yolo_name,original,split,n_boxes
img_000.jpg,public_saved-refs__saved_DXgYKrpEiqu.jpg,val,4
img_001.jpg,references_docs_images_영어카드뉴스_GPT__ChatGPT Image 2026년 5월 4일 오후 12_34_49 (2).png,val,8
img_002.jpg,public_saved-refs__saved_DJbOPtCPss_.jpg,val,0
img_003.jpg,references_docs_images_red_tone_card_news__f3e5c7320696d656c733645be6148ac4.jpg,val,1
img_004.jpg,references_docs_images_insurance_cardnews__Gemini_Generated_Image_484hx5484hx5484h (1).png,val,26
img_005.jpg,public_templates__ux_trend_2026.png,val,9
img_006.jpg,public_saved-refs__saved_DXhQlvdmYBb.jpg,val,5
img_007.jpg,references_docs_images_영어카드뉴스_GPT__ChatGPT Image 2026년 5월 4일 오후 12_34_49 (1).png,val,8
img_008.jpg,"references_docs_images_seoul_stratup__2024년, 서울대 연세대 학생들이 회사를 차렸습니다. 회사 이름은 에임인텔리전스(AIM Intelligence). AI 회사입니다.OpenAI APAC 유일 가드레일 기여 (8).jpg",val,2
img_009.jpg,public_saved-refs__saved_DXrNc_DDy_P.jpg,val,0
img_010.jpg,"references_docs_images_매거진카드뉴스__✈️ 비행기는 탔는데, 설레임과 감흥은 어디로 갔나요여행을 가도 메일을 확인하고,급한 연락을 신경 쓰고,혹은 ’여기까지 왔는데 다 봐야지‘ 하는 마음으로슈퍼 J가 되어 오히.jpg",val,7
img_011.jpg,references_docs_images_red_tone_card_news__ChatGPT Image 2026년 4월 27일 오전 12_38_34.png,val,13
img_012.jpg,"references_docs_images_매거진카드뉴스__✈️ 비행기는 탔는데, 설레임과 감흥은 어디로 갔나요여행을 가도 메일을 확인하고,급한 연락을 신경 쓰고,혹은 ’여기까지 왔는데 다 봐야지‘ 하는 마음으로슈퍼 J가 되어 오히 (1).jpg",val,9
img_013.jpg,references_docs_images_영어카드뉴스_GPT__ChatGPT Image 2026년 5월 4일 오전 09_46_42 (1).png,val,8
img_014.jpg,references_docs_images_영어카드뉴스_GPT__ChatGPT Image 2026년 5월 4일 오전 09_46_42 (2).png,val,8
img_015.jpg,public_saved-refs__saved_DWycCJPky4a.jpg,val,8
img_016.jpg,public_saved-refs__saved_DXs7TFegHrX.jpg,train,0
img_017.jpg,references_docs_images_2026-ux-trend__page-6.png,train,6
img_018.jpg,public_saved-refs__saved_DTha7kSAbDz.jpg,train,1
img_019.jpg,references_docs_images_red_tone_card_news__ChatGPT Image 2026년 4월 27일 오전 12_37_27.png,train,14
img_020.jpg,public_saved-refs__saved_DXgXgAWgaj6.jpg,train,1
img_021.jpg,public_templates__english_news_gpt.png,train,8
img_022.jpg,references_docs_images_단국대소개팅부스_카드뉴스__단국대_소개팅부스_포스터_3.png,train,18
